x;y;RSSI A;RSSI B;RSSI C
-0.61;0.78;-67;-73;-70
-0.61;1.63;-68;-69;-73
-0.61;2.56;-69;-71;-72
-0.61;3.42;-71;-85;-70
0.65;0.78;-61;-71;-75
0.65;1.63;-65;-70;-70
0.65;2.56;-70;-70;-70
0.65;3.42;-68;-64;-76
1.97;0.78;-74;-68;-77
1.97;1.63;-75;-73;-72
1.97;2.56;-73;-72;-67
1.97;3.42;-71;-71;-70
3.27;0.78;-71;-61;-73
3.27;1.63;-80;-67;-72
3.27;2.56;-81;-77;-75
3.27;3.42;-75;-68;-72
