x;y;RSSI A;RSSI B;RSSI C
-0.61;0.78;-33;-54;-48
-0.61;1.63;-34;-42;-38
-0.61;2.56;-34;-42;-46
-0.61;3.42;-43;-44;-28
0.65;0.78;-40;-42;-45
0.65;1.63;-30;-44;-39
0.65;2.56;-43;-37;-33
0.65;3.42;-38;-39;-36
1.97;0.78;-40;-42;-42
1.97;1.63;-45;-45;-39
1.97;2.56;-35;-40;-39
1.97;3.42;-35;-48;-44
3.27;0.78;-45;-40;-37
3.27;1.63;-42;-55;-41
3.27;2.56;-43;-45;-37
3.27;3.42;-42;-38;-49
