x;y;RSSI A;RSSI B;RSSI C
-0.61;0.78;-53;-57;-62
-0.61;1.63;-54;-55;-58
-0.61;2.56;-57;-59;-61
-0.61;3.42;-57;-69;-52
0.65;0.78;-49;-64;-61
0.65;1.63;-60;-55;-69
0.65;2.56;-65;-57;-52
0.65;3.42;-61;-72;-47
1.97;0.78;-54;-58;-54
1.97;1.63;-62;-60;-63
1.97;2.56;-58;-60;-55
1.97;3.42;-55;-66;-52
3.27;0.78;-57;-50;-74
3.27;1.63;-59;-57;-60
3.27;2.56;-63;-67;-56
3.27;3.42;-59;-57;-55
